"nut","Plot","type","val","extract"
"Calcium",178,"soil_rawdiffgm2_0.20cm",14.58,"aa"
"Calcium",185,"soil_rawdiffgm2_0.20cm",28.24,"aa"
"Calcium",186,"soil_rawdiffgm2_0.20cm",74.9,"aa"
"Calcium",190,"soil_rawdiffgm2_0.20cm",10.58,"aa"
"Calcium",193,"soil_rawdiffgm2_0.20cm",76.34,"aa"
"Calcium",197,"soil_rawdiffgm2_0.20cm",19.11,"aa"
"Calcium",199,"soil_rawdiffgm2_0.20cm",97.41,"aa"
"Calcium",201,"soil_rawdiffgm2_0.20cm",39.31,"aa"
"Calcium",202,"soil_rawdiffgm2_0.20cm",49.11,"aa"
"Calcium",205,"soil_rawdiffgm2_0.20cm",7.86,"aa"
"Calcium",206,"soil_rawdiffgm2_0.20cm",35.15,"aa"
"Calcium",208,"soil_rawdiffgm2_0.20cm",33.87,"aa"
"Calcium",210,"soil_rawdiffgm2_0.20cm",31.78,"aa"
"Calcium",211,"soil_rawdiffgm2_0.20cm",16.72,"aa"
"Calcium",213,"soil_rawdiffgm2_0.20cm",-3.06,"aa"
"Calcium",220,"soil_rawdiffgm2_0.20cm",33.59,"aa"
"Calcium",223,"soil_rawdiffgm2_0.20cm",-9.12,"aa"
"Calcium",224,"soil_rawdiffgm2_0.20cm",3.38,"aa"
"Calcium",225,"soil_rawdiffgm2_0.20cm",18.71,"aa"
"Calcium",227,"soil_rawdiffgm2_0.20cm",35.38,"aa"
"Calcium",229,"soil_rawdiffgm2_0.20cm",26.17,"aa"
"Calcium",230,"soil_rawdiffgm2_0.20cm",2.03,"aa"
"Calcium",232,"soil_rawdiffgm2_0.20cm",63.41,"aa"
"Calcium",233,"soil_rawdiffgm2_0.20cm",36.52,"aa"
"Calcium",234,"soil_rawdiffgm2_0.20cm",75.98,"aa"
"Calcium",235,"soil_rawdiffgm2_0.20cm",68.95,"aa"
"Calcium",236,"soil_rawdiffgm2_0.20cm",21.64,"aa"
"Calcium",237,"soil_rawdiffgm2_0.20cm",4.65,"aa"
"Calcium",239,"soil_rawdiffgm2_0.20cm",34.73,"aa"
"Calcium",242,"soil_rawdiffgm2_0.20cm",36.63,"aa"
"Calcium",253,"soil_rawdiffgm2_0.20cm",60.7,"aa"
"Calcium",257,"soil_rawdiffgm2_0.20cm",54.32,"aa"
"Calcium",259,"soil_rawdiffgm2_0.20cm",39.79,"aa"
"Calcium",265,"soil_rawdiffgm2_0.20cm",29.7,"aa"
"Calcium",266,"soil_rawdiffgm2_0.20cm",37.85,"aa"
"Calcium",267,"soil_rawdiffgm2_0.20cm",12.31,"aa"
"Calcium",268,"soil_rawdiffgm2_0.20cm",11.85,"aa"
